,Start_Date,Transit_time,v_r,Mass,rel_wid,A,rho_g_km3,w_km_s,n_valid,error
34,1999-09-20 09:02:08.760000+00:00,57.96416666666667,973.92,890000000000000.0,1.1519173063162575,180414483738561.12,6.357399920225143e-09,506.0,,
35,2000-01-18 20:20:01.640000+00:00,92.6661111111111,1132.6,6900000000000000.0,1.1519173063162575,180414483738561.12,9.204359860424301e-09,316.8034188034188,,
37,2000-02-10 05:07:24.920000+00:00,54.87638888888889,1097.2,64000000000000.0,1.1519173063162575,180414483738561.12,7.8469323609857e-09,450.8235294117647,,
38,2000-02-12 06:54:10.160000+00:00,53.096944444444446,1286.9,1600000000000000.0,1.1519173063162575,180414483738561.12,3.3748487045147834e-08,590.2100840336135,,
40,2000-04-04 17:02:59.728000+00:00,60.95,1648.4,4500000000000000.0,1.1519173063162575,180414483738561.12,1.366039644162795e-08,370.30252100840335,,
41,2000-04-15 13:27:24.560000+00:00,78.54305555555555,1095.2,430000000000000.0,1.1519173063162575,180414483738561.12,2.3793152922405915e-08,282.47899159663865,,
42,2000-04-29 09:23:25.760000+00:00,82.60944444444445,704.87,1.1e+16,0.7853981633974483,89070356774969.36,1.267037411442925e-08,409.6470588235294,,
43,2000-05-10 23:13:02.080000+00:00,65.7825,921.9,4400000000000000.0,1.1519173063162575,180414483738561.12,1.576094693016802e-08,321.4273504273504,,
46,2000-05-21 10:53:46.160000+00:00,73.1036111111111,911.35,9000000000000000.0,1.1519173063162575,180414483738561.12,1.0469043540674097e-08,407.61344537815125,,
48,2000-06-06 17:42:43.160000+00:00,42.28777777777778,1553.8,1.8e+16,1.1519173063162575,180414483738561.12,4.306358227785896e-09,440.6218487394958,,
49,2000-07-07 14:40:49.160000+00:00,83.31944444444444,731.72,1800000000000000.0,0.7853981633974483,89070356774969.36,9.297381145365097e-09,392.5126050420168,,
52,2000-07-14 12:13:07.840000+00:00,30.781111111111112,2031.7,1.4e+16,1.1519173063162575,180414483738561.12,3.764109500723726e-09,587.8655462184873,,
53,2000-07-17 11:58:46.160000+00:00,61.02027777777778,1431.9,7500000000000000.0,1.1519173063162575,180414483738561.12,2.5764199948380973e-09,642.2941176470588,,
54,2000-07-23 09:24:25.880000+00:00,88.59277777777777,792.55,3100000000000000.0,0.7853981633974483,89070356774969.36,1.1489854772651896e-08,447.69747899159665,,
55,2000-07-25 08:06:24.440000+00:00,75.89305555555555,674.53,1600000000000000.0,0.7853981633974483,89070356774969.36,4.4690188083788925e-09,360.1848739495798,,
57,2000-08-09 19:48:12.560000+00:00,57.19638888888889,928.29,7000000000000000.0,1.1519173063162575,180414483738561.12,1.1331647229524452e-08,358.34166666666664,,
59,2000-09-05 08:46:29.600000+00:00,75.225,945.28,3200000000000000.0,1.1519173063162575,180414483738561.12,1.3500969367251678e-08,372.453781512605,,
60,2000-10-02 23:00:14.480000+00:00,61.99583333333334,1102.0,3900000000000000.0,1.1519173063162575,180414483738561.12,1.5379311620876852e-08,388.3628318584071,,
61,2000-10-10 01:59:33.440000+00:00,86.00722222222223,1239.3,1.4e+16,1.1519173063162575,180414483738561.12,3.089904469462002e-08,322.5126050420168,,
62,2000-10-25 12:49:10.160000+00:00,80.18027777777777,1196.1,1.7e+16,1.1519173063162575,180414483738561.12,7.626349408949124e-09,405.8487394957983,,
