time,w,rho
1996-01-20 00:00:00+00:00,439.5681818181818,9.730454564094543
1996-01-21 00:00:00+00:00,420.6245614035088,7.887649136258845
1996-01-22 00:00:00+00:00,389.4230769230769,9.128286720155836
1996-01-23 00:00:00+00:00,370.65034965034965,9.842447559316675
1996-01-24 00:00:00+00:00,353.69611307420496,10.457349817660166
1996-01-25 00:00:00+00:00,386.6267605633803,11.00436618966116
1996-01-26 00:00:00+00:00,410.75524475524475,7.9673776043044935
1996-01-27 00:00:00+00:00,429.93684210526317,5.54922806589227
1996-01-28 00:00:00+00:00,424.8706293706294,8.89125874492672
1996-01-29 00:00:00+00:00,535.8601398601398,4.973601405437176
1996-01-30 00:00:00+00:00,525.3356643356643,3.9553496587526547
1996-01-31 00:00:00+00:00,514.0596491228071,4.138385982680739
1996-02-01 00:00:00+00:00,451.5698924731183,4.6032616570858975
1996-02-02 00:00:00+00:00,477.6140350877193,5.467894749055829
1996-02-03 00:00:00+00:00,464.2711267605634,4.082676061442201
1996-02-04 00:00:00+00:00,392.84375,7.984765654429793
1996-02-05 00:00:00+00:00,379.2711267605634,7.094542239753293
1996-02-06 00:00:00+00:00,358.62587412587413,10.493321702196882
1996-02-07 00:00:00+00:00,365.3584229390681,10.745089601017668
1996-02-08 00:00:00+00:00,404.6958041958042,9.416328651921733
1996-02-09 00:00:00+00:00,387.40701754385964,7.454771933639258
1996-02-10 00:00:00+00:00,397.88214285714287,9.345714296613421
1996-02-11 00:00:00+00:00,556.021052631579,5.167438599101284
1996-02-12 00:00:00+00:00,545.5104895104895,4.46860139936834
1996-02-13 00:00:00+00:00,529.175355450237,3.8347393404251027
1996-02-15 00:00:00+00:00,383.1694915254237,10.764406826536534
1996-02-16 00:00:00+00:00,373.1316725978648,16.159323889165588
1996-02-17 00:00:00+00:00,400.33216783216784,9.472937047064722
1996-02-18 00:00:00+00:00,412.17894736842106,10.913614030469928
1996-02-19 00:00:00+00:00,472.2587412587413,4.304720286722784
1996-02-20 00:00:00+00:00,486.19649122807016,3.7232982493283457
1996-02-21 00:00:00+00:00,423.0699300699301,4.9294056042091
1996-02-22 00:00:00+00:00,417.2957746478873,7.773345101047569
1996-02-23 00:00:00+00:00,419.55087719298245,10.540666672221402
1996-02-24 00:00:00+00:00,456.65034965034965,8.645314690950034
1996-02-25 00:00:00+00:00,474.660777385159,6.332932864819314
1996-02-26 00:00:00+00:00,541.3978873239437,4.527992954556371
1996-02-27 00:00:00+00:00,522.0384615384615,5.070314694117833
1996-02-28 00:00:00+00:00,482.92280701754385,3.1651579011950575
1996-02-29 00:00:00+00:00,390.1048951048951,8.200699303533648
1996-03-01 00:00:00+00:00,380.9505300353357,6.857420473974922
1996-03-02 00:00:00+00:00,327.0177304964539,13.914858141689436
