,Start_Date,Transit_time,v_r,Mass,rel_wid,A,w,rho,n_pts,gamma,a
5,1997-07-31 00:19:26.600,304833.0,157.85,820000000000000.0,0.5585053606381855,46209367163953.41,355.6666666666667,25.18416674931844,12,2.3737547522969431e-07,0.0035330429569245345
13,1997-12-26 14:06:57.400,330781.99999999994,269.24,1900000000000000.0,0.5585053606381855,46209367163953.41,319.0,6.364999969800313,12,2.5892078695824728e-08,0.0010168874076383198
18,1998-02-28 23:11:13.200,308926.0,285.12,490000000000000.0,0.5585053606381855,46209367163953.41,380.0,10.830769245441145,13,1.7083833747781138e-07,0.0015086223119411826
54,2001-02-28 22:34:17.120,278742.0,418.03,2400000000000000.0,0.5585053606381855,46209367163953.41,472.9166666666667,3.1566666762034097,12,1.0165754027927723e-08,0.0004902190414038524
92,2006-04-10 13:57:40.000,262940.0,319.46,3000000000000000.0,0.5585053606381855,46209367163953.41,634.5833333333334,2.1766666869322457,12,5.607803524381164e-09,0.0012709892152953089
97,2007-11-16 15:44:58.000,285302.0,234.24,380000000000000.0,0.5585053606381855,46209367163953.41,550.3333333333334,3.455000023047129,12,7.027268885723106e-08,0.0003651245933510938
99,2010-04-08 19:21:21.400,279518.0,164.99,1300000000000000.0,0.5585053606381855,46209367163953.41,579.5,2.0308333337306976,12,1.2074052065337487e-08,0.0016760049711877138
102,2011-03-03 13:39:30.560,242429.0,530.26,1400000000000000.0,0.7853981633974483,89070356774969.36,582.1666666666666,5.2441666920979815,12,5.580508018266157e-08,0.00017931608907627536
112,2011-10-02 14:49:57.600,241802.0,261.6,300000000000000.0,0.5585053606381855,46209367163953.41,520.0,3.1299999952316284,12,8.063901152137823e-08,0.002082820783498388
136,2013-06-24 09:05:47.000,320053.0,291.45,390000000000000.0,0.5585053606381855,46209367163953.41,500.9090909090909,2.753636360168457,11,5.457127414883046e-08,0.00013957607136775394
142,2014-02-12 13:40:45.440,314354.0,421.23,5000000000000000.0,0.5585053606381855,46209367163953.41,437.8333333333333,1.1441666583220165,12,1.7686479581475798e-09,6.59450758558316e-05
149,2015-01-03 18:40:05.600,303594.0,208.69,2800000000000000.0,0.5585053606381855,46209367163953.41,477.0,3.085833330949148,12,8.517978659512285e-09,0.0013999089765481133
159,2016-01-15 11:30:23.000,340177.00000000006,264.55,3000000000000000.0,0.5585053606381855,46209367163953.41,403.45454545454544,4.064545458013361,11,1.0471595160294872e-08,0.0007394893656008591
