Start_Date,Transit_time,v_r,Mass,rel_wid,A,w,rho,n_pts
1997-01-07 08:35:05.600,67.41499999999999,190.53,580000000000000.0,0.5585053606381855,46209367163953.41,393.75,9.40499997138977,12
1997-02-07 07:35:12.440,66.41305555555556,705.35,4100000000000000.0,0.7853981633974483,89070356774969.36,388.4166666666667,8.31166664759318,12
1997-04-07 17:26:59.000,84.55027777777778,1133.7,1e+16,1.1519173063162575,180414483738561.12,406.75,5.085833311080933,12
1997-05-12 09:00:08.640,71.9975,774.63,4200000000000000.0,0.7853981633974483,89070356774969.36,294.9166666666667,12.235833406448364,12
1997-05-22 07:41:17.480,104.31166666666668,354.13,2200000000000000.0,0.5585053606381855,46209367163953.41,332.8333333333333,11.164999961853027,12
1997-07-31 00:19:26.600,84.67583333333333,157.85,820000000000000.0,0.5585053606381855,46209367163953.41,355.6666666666667,25.18416674931844,12
1997-08-30 06:56:41.000,102.05527777777776,557.61,1700000000000000.0,0.7853981633974483,89070356774969.36,441.25,7.504999955495198,12
1997-09-18 01:21:42.760,91.63805555555555,545.09,2600000000000000.0,0.7853981633974483,89070356774969.36,345.0833333333333,23.364166895548504,12
1997-09-28 06:02:03.120,81.96555555555555,603.39,4000000000000000.0,0.7853981633974483,89070356774969.36,448.9166666666667,5.416666626930237,12
1997-10-06 23:13:39.440,94.77222222222224,749.38,2900000000000000.0,0.7853981633974483,89070356774969.36,346.0,14.178333282470703,12
1997-10-23 16:45:38.800,79.23916666666666,706.03,8200000000000000.0,0.7853981633974483,89070356774969.36,376.6666666666667,16.274999777475994,12
1997-11-04 08:46:51.440,67.21888888888888,1011.2,7500000000000000.0,1.1519173063162575,180414483738561.12,310.6666666666667,10.006666580835978,12
1997-12-06 18:05:36.800,95.90638888888888,682.83,2e+16,0.7853981633974483,89070356774969.36,375.75,6.03416661421458,12
1997-12-26 14:06:57.400,91.88388888888888,269.24,1900000000000000.0,0.5585053606381855,46209367163953.41,319.0,6.364999969800313,12
1998-01-03 05:32:03.840,91.46555555555555,650.72,5500000000000000.0,0.7853981633974483,89070356774969.36,361.5,5.0583332777023315,12
1998-01-17 08:52:53.160,93.11833333333334,608.05,1600000000000000.0,0.7853981633974483,89070356774969.36,323.6666666666667,12.236666599909464,12
1998-01-25 17:41:59.640,98.3,1319.9,1.1e+16,1.1519173063162575,180414483738561.12,380.8333333333333,9.735833406448364,12
1998-02-15 03:01:15.800,54.97888888888889,154.19,1900000000000000.0,0.5585053606381855,46209367163953.41,355.27272727272725,8.489999944513494,11
1998-02-28 23:11:13.200,85.81277777777778,285.12,490000000000000.0,0.5585053606381855,46209367163953.41,380.0,10.830769245441143,13
1998-04-29 18:46:12.960,58.22972222222222,1679.8,1e+16,1.1519173063162575,180414483738561.12,326.6666666666667,10.09500002861023,12
1998-05-02 16:17:35.640,41.70666666666666,1358.3,7700000000000000.0,1.1519173063162575,180414483738561.12,605.3636363636364,3.5763636502352627,11
1999-04-13 10:02:37.280,79.95611111111111,466.56,1400000000000000.0,0.5585053606381855,46209367163953.41,424.0833333333333,2.8275000055631003,12
1999-04-18 14:15:42.080,61.73805555555556,563.21,1200000000000000.0,0.7853981633974483,89070356774969.36,386.4166666666667,6.678333322207133,12
1999-06-24 16:15:21.360,77.74388888888889,1434.8,2300000000000000.0,1.1519173063162575,180414483738561.12,296.6666666666667,9.582500060399374,12
1999-07-04 00:47:21.440,68.21055555555556,826.23,8400000000000000.0,0.7853981633974483,89070356774969.36,459.8333333333333,2.1208333472410836,12
1999-07-24 03:32:04.200,85.46527777777777,512.63,7500000000000000.0,0.7853981633974483,89070356774969.36,467.6363636363636,2.847272742878307,11
1999-07-28 12:43:57.240,78.26722222222222,802.39,190000000000000.0,0.7853981633974483,89070356774969.36,381.0833333333333,4.17416665951411,12
1999-08-09 09:00:49.760,65.98611111111111,565.03,1000000000000000.0,0.7853981633974483,89070356774969.36,390.0,9.943333347638449,12
1999-09-20 09:02:08.760,57.96416666666667,973.92,890000000000000.0,1.1519173063162575,180414483738561.12,509.0,3.700000047683716,1
2000-01-18 20:20:01.640,92.6661111111111,1132.6,6900000000000000.0,1.1519173063162575,180414483738561.12,316.8333333333333,5.488333344459534,12
2000-02-10 05:07:24.920,54.87638888888889,1097.2,64000000000000.0,1.1519173063162575,180414483738561.12,450.0,4.692727283997969,11
2000-02-12 06:54:10.160,53.096944444444446,1286.9,1600000000000000.0,1.1519173063162575,180414483738561.12,591.1666666666666,20.570000251134235,12
2000-04-04 17:02:59.728,60.95,1648.4,4500000000000000.0,1.1519173063162575,180414483738561.12,370.25,8.137499968210856,12
2000-04-15 13:27:24.560,78.54305555555555,1095.2,430000000000000.0,1.1519173063162575,180414483738561.12,283.1666666666667,14.016666650772095,12
2000-04-29 09:23:25.760,82.60944444444445,704.87,1.1e+16,0.7853981633974483,89070356774969.36,409.5,7.547499974568685,12
2000-05-10 23:13:02.080,65.7825,921.9,4400000000000000.0,1.1519173063162575,180414483738561.12,321.54545454545456,9.471818143671209,11
2000-05-13 16:37:51.920,78.36888888888889,818.34,4100000000000000.0,0.7853981633974483,89070356774969.36,584.4545454545455,8.035454446619207,11
2000-05-20 22:02:32.720,58.9575,432.98,300000000000000.0,0.5585053606381855,46209367163953.41,415.75,2.4758333464463553,12
2000-05-21 10:53:46.160,73.1036111111111,911.35,9000000000000000.0,1.1519173063162575,180414483738561.12,407.25,6.28333334128062,12
2000-05-31 13:36:11.120,104.39666666666666,569.63,1900000000000000.0,0.7853981633974483,89070356774969.36,557.2727272727273,2.5127272605895996,11
2000-06-06 17:42:43.160,42.28777777777778,1553.8,1.8e+16,1.1519173063162575,180414483738561.12,440.25,2.5550000071525574,12
2000-07-07 14:40:49.160,83.31944444444444,731.72,1800000000000000.0,0.7853981633974483,89070356774969.36,392.0833333333333,5.540833353996277,12
2000-07-12 23:45:29.840,41.24166666666667,952.82,7400000000000000.0,1.1519173063162575,180414483738561.12,489.38461538461536,2.5761538468874416,13
2000-07-14 12:13:07.840,30.781111111111112,2031.7,1.4e+16,1.1519173063162575,180414483738561.12,588.9166666666666,2.2725000182787576,12
2000-07-17 11:58:46.160,61.02027777777778,1431.9,7500000000000000.0,1.1519173063162575,180414483738561.12,644.9166666666666,1.5658333400885265,12
2000-07-23 09:24:25.880,88.59277777777777,792.55,3100000000000000.0,0.7853981633974483,89070356774969.36,447.72727272727275,6.9372727654197,11
2000-07-25 08:06:24.440,75.89305555555555,674.53,1600000000000000.0,0.7853981633974483,89070356774969.36,359.25,2.7450000047683716,12
2000-08-09 19:48:12.560,57.19638888888889,928.29,7000000000000000.0,1.1519173063162575,180414483738561.12,358.75,6.7558333079020185,12
2000-08-29 20:44:58.800,97.25027777777778,1200.7,1900000000000000.0,1.1519173063162575,180414483738561.12,614.75,2.849166671435038,12
2000-09-05 08:46:29.600,75.225,945.28,3200000000000000.0,1.1519173063162575,180414483738561.12,372.0,7.996666669845581,12
2000-10-02 23:00:14.480,61.99583333333334,1102.0,3900000000000000.0,1.1519173063162575,180414483738561.12,389.27272727272725,9.290909160267223,11
2000-10-10 01:59:33.440,86.00722222222223,1239.3,1.4e+16,1.1519173063162575,180414483738561.12,322.5,18.427499930063885,12
2000-10-25 12:49:10.160,80.18027777777777,1196.1,1.7e+16,1.1519173063162575,180414483738561.12,405.6666666666667,4.56416670481364,12
2001-01-20 22:49:35.840,82.17333333333333,2205.0,1.8e+16,1.1519173063162575,180414483738561.12,312.0833333333333,17.05166681607564,12
2001-02-28 22:34:17.120,77.42833333333333,418.03,2400000000000000.0,0.5585053606381855,46209367163953.41,472.9166666666667,3.1566666762034097,12
2001-03-16 09:43:13.520,79.27944444444445,542.06,1000000000000000.0,0.7853981633974483,89070356774969.36,314.25,9.249166568120321,12
2001-03-25 20:06:25.520,68.89277777777778,910.79,3300000000000000.0,1.1519173063162575,180414483738561.12,386.0833333333333,4.31416670481364,12
2001-03-28 16:00:40.200,60.98861111111111,959.86,3000000000000000.0,1.1519173063162575,180414483738561.12,622.3333333333334,3.9758333762486777,12
2001-03-29 13:03:40.240,62.93861111111112,1156.1,2800000000000000.0,1.1519173063162575,180414483738561.12,482.6666666666667,5.684999982515971,12
2001-04-02 22:50:56.596,43.15083333333334,3217.6,9200000000000000.0,1.1519173063162575,180414483738561.12,510.9166666666667,2.2258333464463553,12
2001-04-06 21:17:29.320,40.70833333333333,1723.5,8400000000000000.0,1.1519173063162575,180414483738561.12,470.5833333333333,5.56250003973643,12
2001-04-10 06:36:03.240,39.39888888888889,2916.5,9100000000000000.0,1.1519173063162575,180414483738561.12,534.5833333333334,1.1650000015894573,12
2001-04-11 15:52:35.360,41.123333333333335,1303.4,5300000000000000.0,1.1519173063162575,180414483738561.12,725.4545454545455,19.334545135498047,11
2001-07-05 10:57:28.400,87.04194444444444,701.2,7000000000000000.0,0.7853981633974483,89070356774969.36,434.1666666666667,8.700833360354105,12
2001-09-20 21:28:44.800,74.52083333333333,1022.8,1000000000000000.0,1.1519173063162575,180414483738561.12,352.75,13.125833431879679,12
2001-09-27 10:48:46.040,48.18694444444444,1143.5,1.8e+16,1.1519173063162575,180414483738561.12,459.6666666666667,4.444999972979228,12
2001-09-28 11:08:01.480,68.86611111111111,1318.1,2e+16,1.1519173063162575,180414483738561.12,524.0,2.089166651169459,12
2001-09-29 14:50:14.960,61.1625,922.6,1400000000000000.0,1.1519173063162575,180414483738561.12,692.6666666666666,4.183333396911621,12
2001-10-09 13:46:50.480,62.219166666666666,1222.6,1.2e+16,1.1519173063162575,180414483738561.12,424.45454545454544,8.90454556725242,11
2001-10-19 19:28:29.000,48.52527777777778,1100.1,9000000000000000.0,1.1519173063162575,180414483738561.12,328.9166666666667,11.574166695276896,12
2001-10-22 22:03:16.560,100.94527777777778,810.11,1000000000000000.0,0.7853981633974483,89070356774969.36,526.3333333333334,8.211666782697042,12
2001-10-25 17:45:20.960,100.24416666666669,1343.1,4200000000000000.0,1.1519173063162575,180414483738561.12,424.0,9.745000123977661,12
2001-11-04 17:51:48.960,42.13638888888889,2122.8,1.7e+16,1.1519173063162575,180414483738561.12,323.75,6.7408333619435625,12
2001-11-17 06:49:49.680,63.16944444444445,1826.3,1.3e+16,1.1519173063162575,180414483738561.12,416.0,4.162500023841858,12
2001-11-23 01:02:57.440,36.95055555555555,1770.0,1.8e+16,1.1519173063162575,180414483738561.12,466.5833333333333,5.040833353996277,12
2001-12-26 06:56:45.920,89.05388888888889,1989.6,4800000000000000.0,1.1519173063162575,180414483738561.12,391.4166666666667,6.930833299954732,12
2002-04-15 06:22:55.800,57.617777777777775,1156.1,1900000000000000.0,1.1519173063162575,180414483738561.12,332.1818181818182,20.041818271983754,11
2002-05-08 16:59:55.400,70.00111111111111,951.58,580000000000000.0,1.1519173063162575,180414483738561.12,373.0833333333333,3.4208333094914756,12
2002-05-16 04:07:46.640,101.87027777777776,886.18,4200000000000000.0,0.7853981633974483,89070356774969.36,384.9166666666667,5.668333331743876,12
2002-09-17 10:47:35.120,57.20666666666666,1243.2,1.4e+16,1.1519173063162575,180414483738561.12,489.5833333333333,4.46833332379659,12
2003-05-28 02:31:25.760,47.47611111111111,1744.5,1.3e+16,1.1519173063162575,180414483738561.12,683.2727272727273,7.306363712657582,11
2003-05-29 02:52:27.960,43.12555555555555,1770.5,3900000000000000.0,1.1519173063162575,180414483738561.12,636.0833333333334,2.8016666769981384,12
2003-06-14 05:01:34.280,76.97361111111111,993.26,4400000000000000.0,1.1519173063162575,180414483738561.12,501.1666666666667,5.381666660308838,12
2005-01-05 18:07:08.640,74.88083333333333,1225.4,4500000000000000.0,1.1519173063162575,180414483738561.12,596.9166666666666,3.1166666944821677,12
2005-01-13 20:33:41.000,65.43861111111111,1043.7,420000000000000.0,1.1519173063162575,180414483738561.12,662.4166666666666,2.3858333428700766,12
2005-01-17 10:23:55.244,36.60111111111111,2882.4,3.2e+16,1.1519173063162575,180414483738561.12,654.9166666666666,12.90833330154419,12
2005-05-16 19:09:22.960,79.84361111111112,614.04,4300000000000000.0,0.7853981633974483,89070356774969.36,568.9166666666666,0.46833333124717075,12
2005-05-27 01:43:20.360,98.2775,810.04,1300000000000000.0,0.7853981633974483,89070356774969.36,316.1666666666667,5.6208332777023315,12
2005-08-05 12:11:29.000,83.8086111111111,871.48,2900000000000000.0,0.7853981633974483,89070356774969.36,395.0833333333333,7.853333353996277,12
2005-08-22 03:20:16.080,58.66194444444445,1593.9,5300000000000000.0,1.1519173063162575,180414483738561.12,447.75,6.444999933242798,12
2005-08-31 14:20:55.280,51.65111111111111,1621.3,2400000000000000.0,1.1519173063162575,180414483738561.12,397.5,23.9366668065389,12
2005-09-09 20:55:48.320,32.069722222222225,2586.4,1.6e+17,1.1519173063162575,180414483738561.12,450.6666666666667,11.098333279291788,12
2006-04-10 13:57:40.000,73.03888888888889,319.46,3000000000000000.0,0.5585053606381855,46209367163953.41,634.5833333333334,2.1766666869322457,12
2006-08-16 18:23:25.840,90.60944444444443,1373.7,1e+16,1.1519173063162575,180414483738561.12,303.3333333333333,4.800833344459534,12
2006-08-26 23:16:20.880,92.7275,1291.5,7400000000000000.0,1.1519173063162575,180414483738561.12,323.5,12.18166677157084,12
2006-12-13 04:04:10.600,41.930277777777775,2234.5,4700000000000000.0,1.1519173063162575,180414483738561.12,606.8333333333334,1.7291666567325592,12
2006-12-15 01:00:50.440,46.98583333333333,1194.4,7500000000000000.0,1.1519173063162575,180414483738561.12,770.3636363636364,1.9209090688011863,11
2007-11-16 15:44:58.000,79.25055555555555,234.24,380000000000000.0,0.5585053606381855,46209367163953.41,550.3333333333334,3.455000023047129,12
2008-12-12 21:38:06.400,101.36472222222224,422.42,810000000000000.0,0.5585053606381855,46209367163953.41,415.1666666666667,3.3274999856948853,12
2010-04-08 19:21:21.400,77.6438888888889,164.99,1300000000000000.0,0.5585053606381855,46209367163953.41,579.5,2.0308333337306976,12
