,Start_Date,Transit_time,v_r,Mass,rel_wid,A,w,rho,n_pts,gamma,a
65,2001-09-27 10:48:46.040,173473.0,1143.5,1.8e+16,1.1519173063162575,180414483738561.12,459.6666666666667,4.444999972979228,12,7.451826761103578e-09,-0.0026429581222135387
67,2001-09-29 14:50:14.960,220185.0,922.6,1400000000000000.0,1.1519173063162575,180414483738561.12,692.6666666666666,4.183333396911621,12,9.016914141893847e-08,-0.002950155992237418
68,2001-10-09 13:46:50.480,223989.0,1222.6,1.2e+16,1.1519173063162575,180414483738561.12,424.45454545454544,8.90454556725242,11,2.2392057825720455e-08,-0.0022794221305746064
71,2001-10-25 17:45:20.960,360879.00000000006,1343.1,4200000000000000.0,1.1519173063162575,180414483738561.12,424.0,9.74500012397766,12,7.001579927904866e-08,-0.0025864927915283426
75,2001-12-26 06:56:45.920,320594.0,1989.6,4800000000000000.0,1.1519173063162575,180414483738561.12,391.4166666666667,6.930833299954732,12,4.3572021407742184e-08,-0.002752144936217076
78,2002-05-16 04:07:46.640,366732.99999999994,886.18,4200000000000000.0,0.7853981633974483,89070356774969.36,384.9166666666667,5.668333331743876,12,2.0106263756302817e-08,-0.0020613560710136506
79,2002-09-17 10:47:35.120,205944.0,1243.2,1.4e+16,1.1519173063162575,180414483738561.12,489.5833333333333,4.46833332379659,12,9.631213703354805e-09,-0.004072038692293123
82,2003-06-14 05:01:34.280,277105.0,993.26,4400000000000000.0,1.1519173063162575,180414483738561.12,501.1666666666667,5.381666660308838,12,3.6908603225453786e-08,-0.0024338501164807382
83,2005-01-05 18:07:08.640,269571.0,1225.4,4500000000000000.0,1.1519173063162575,180414483738561.12,596.9166666666666,3.116666694482168,12,2.0899761908269408e-08,-0.004570869710581033
84,2005-01-13 20:33:41.000,235579.0,1043.7,420000000000000.0,1.1519173063162575,180414483738561.12,662.4166666666666,2.3858333428700766,12,1.7141716400457982e-07,-0.004214345231051713
86,2005-05-16 19:09:22.960,287437.0,614.04,4300000000000000.0,0.7853981633974483,89070356774969.36,568.9166666666666,0.4683333312471707,12,1.6226015868206552e-09,-0.0009986336775085517
87,2005-05-27 01:43:20.360,353799.0,810.04,1300000000000000.0,0.7853981633974483,89070356774969.36,316.1666666666667,5.620833277702332,12,6.441435103641714e-08,-0.0005126235858394927
88,2005-08-05 12:11:29.000,301711.0,871.48,2900000000000000.0,0.7853981633974483,89070356774969.36,395.0833333333333,7.853333353996277,12,4.0344219590714604e-08,-0.0012651778942124835
89,2005-08-22 03:20:16.080,211183.00000000003,1593.9,5300000000000000.0,1.1519173063162575,180414483738561.12,447.75,6.444999933242798,12,3.669530822660308e-08,-0.0020196342634517996
93,2006-08-16 18:23:25.840,326193.99999999994,1373.7,1e+16,1.1519173063162575,180414483738561.12,303.3333333333333,4.800833344459534,12,1.4487055454840702e-08,-0.002970027935617397
94,2006-08-26 23:16:20.880,333819.0,1291.5,7400000000000000.0,1.1519173063162575,180414483738561.12,323.5,12.18166677157084,12,4.9675070012190904e-08,-0.0011267976521313393
96,2006-12-15 01:00:50.440,169149.0,1194.4,7500000000000000.0,1.1519173063162575,180414483738561.12,770.3636363636364,1.9209090688011865,11,7.728746020186919e-09,-0.004269188764482653
98,2008-12-12 21:38:06.400,364913.00000000006,422.42,810000000000000.0,0.5585053606381855,46209367163953.41,415.1666666666667,3.3274999856948853,12,3.175083541505326e-08,-0.0003199936440762053
101,2011-02-15 05:07:09.440,309170.0,1136.6,4300000000000000.0,1.1519173063162575,180414483738561.12,432.5,9.40916669368744,12,6.60307453208857e-08,-0.0017943645353739324
106,2011-06-14 12:12:07.360,233272.0,941.28,1.5e+16,1.1519173063162575,180414483738561.12,523.4166666666666,5.068333347638448,12,1.019617789976595e-08,-0.002589680580762697
107,2011-08-02 09:26:39.440,243200.0,990.79,5100000000000000.0,1.1519173063162575,180414483738561.12,479.9166666666667,2.063333342472712,12,1.2208511383827762e-08,-0.0027142638220434426
109,2011-09-07 02:43:56.520,260163.0,753.29,1.5e+16,0.7853981633974483,89070356774969.36,405.75,4.50166670481364,12,4.471027723238882e-09,-0.0015741142583303256
110,2011-09-14 03:08:49.160,298270.0,896.62,2500000000000000.0,0.7853981633974483,89070356774969.36,523.5,2.559166630109152,12,1.5250491476018135e-08,-0.0027399222142350634
113,2011-10-22 04:54:11.840,234348.0,966.1,1.6e+16,1.1519173063162575,180414483738561.12,313.75,7.145000100135803,12,1.3475526701391188e-08,-0.001283088317842017
114,2011-10-27 16:13:00.360,463619.0,724.61,5800000000000000.0,0.7853981633974483,89070356774969.36,408.1666666666667,2.0500000218550363,12,5.265639908218299e-09,-0.001864310566284602
115,2011-11-09 16:02:44.480,323835.0,1131.0,1.4e+16,1.1519173063162575,180414483738561.12,339.4166666666667,6.53000005086263,12,1.4075007707647627e-08,-0.002658533555505519
116,2011-11-26 10:03:52.440,222967.0,1173.8,1.2e+16,1.1519173063162575,180414483738561.12,374.8333333333333,6.047500054041545,12,1.52075105785471e-08,-0.0023553244554047146
